DealerNumber,LegancyDealerNumber,DealerFullName,DealerShortName,DiscountCode,PricingTypeCode,ProductFrom,TypeofServiceFrom,ReplacementProductType,SecondReplacementMethod,ReplacementPaymentMethodCode,InterestChargedCode,DateOfRecordEntry,DateOfLastMaintained,LastChangedEmployeeNumber,RecordActivityStatusFlag,CancellationProcessiongCode,AuditCreateDate,AuditType
53063,53063 A,US COAST GUARD EXCHANGE,US COA,,1,2,2,0,0,1,,930215,941219,0,I,2,10:44.0,I
53073,53073 A,US COAST GUARD EXCHANGE,US COA,,2,2,2,0,0,1,,930215,950407,0,I,2,10:44.0,I
40225,40225 A,BOB'S SUPPLY,BOB'S,,1,2,2,0,0,1,,930215,941219,0,I,2,10:44.0,I
51023,51023 A,YAFUSO TV APPLIANCE,YAFUSO,,1,2,2,0,0,1,,930215,1000317,0,I,2,10:44.0,I
6227,6227  A,MANUFACTURERS FURNITURE,MANUFA,,1,2,2,0,0,2,,930217,950614,0,I,2,10:44.0,I
6238,6238  A,HIGH POINT FURNITURE,HIGH P,,1,2,2,0,0,2,,930217,950614,0,I,2,10:44.0,I
62117,62117 A,STANDARD FURNITURE,STANDA,,1,2,2,0,0,2,,930217,950614,0,I,2,10:44.0,I
62117,62117 B,STANDARD FURNITURE,STANDA,,1,2,2,0,0,2,,930217,950614,0,I,2,10:44.0,I
6272,6272  A,MODERN FURNITURE,MODERN,,1,2,2,0,0,2,,930217,950614,0,I,2,10:44.0,I
6235,6235  A,FURNITURE FACTORY OUTLET,FURNIT,,1,2,2,0,0,2,,930217,950614,0,I,2,10:44.0,I
6283,6283  A,SOFA DISCOUNTERS,SOFA D,,2,2,2,0,0,2,,930217,950614,0,I,2,10:44.0,I
53066,53066 A,US COAST GUARD EXCHANGE,US COA,,1,2,2,1,0,1,,930223,941219,0,I,1,10:44.0,I
53071,53071 A,US COAST,US COA,,1,2,2,1,0,1,,930223,941219,0,I,1,10:44.0,I
53071,53071 B,US COAST,US COA,,1,2,2,1,0,1,,930223,941219,0,I,1,10:44.0,I
53071,53071 C,US COAST,US COA,,1,2,2,1,0,1,,930223,941219,0,I,1,10:44.0,I
15,310613A,DANIEL'S SALES-310613A,DANIEL,,1,2,2,0,0,1,,930223,941219,0,A,2,10:44.0,I
40233,40233 A,ACCESS COMPUTER TECHNOLOGIES,ACCESS,,2,2,2,1,0,2,,930223,941219,0,I,2,10:44.0,I
6209,6209  A,FURNITURE DISCOUNT CENTER,FURNIT,,1,2,2,0,0,2,,930223,950614,0,I,2,10:44.0,I
41045,41045 A,FITNESS SYSTEMS,FITNES,,1,2,2,0,0,1,,930225,941219,0,I,2,10:44.0,I
16,370146A,NATHAN MUCHNICK INC-370146A,NATHAN,,1,2,3,0,0,1,,930304,941219,0,A,2,10:44.0,I
4059,4059  A,CAR FIDELITY,CAR FI,,1,2,3,0,0,1,,930304,941219,0,I,2,10:44.0,I
53101,53101 A,FUN 'N FITNESS,FUN 'N,,1,2,2,0,0,1,,930304,941219,0,I,2,10:44.0,I
53101,53101 B,FUN 'N FITNESS,FUN 'N,,1,2,2,0,0,1,,930304,941219,0,I,2,10:44.0,I
53101,53101 C,FUN 'N FITNESS,FUN 'N,,1,2,2,0,0,1,,930304,941219,0,I,2,10:44.0,I
53101,53101 D,FUN 'N FITNESS,FUN 'N,,1,2,2,0,0,1,,930304,941219,0,I,2,10:44.0,I
53101,53101 E,FUN 'N FITNESS,FUN 'N,,1,2,2,0,0,1,,930304,941219,0,I,2,10:44.0,I
40239,40239 A,THE OFFICE MART,THE OF,,2,2,2,3,0,1,,930304,941219,0,I,2,10:44.0,I
